timestamp;y;y_pred;mae;mape;new_mae;new_smape;moy_5m;std_5m;n_trades_sum_5m;delta_5m;moy_20m;std_20m;n_trades_sum_20m;delta_20m;moy_60m;std_60m;n_trades_sum_60m;delta_60m
1673371080000.0;1330.94;1330.94;0.0;0.0;878.4204;130.71895424836603;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673371080000.0;1330.94;1330.94;0.0;0.0;658.8153;98.03921568627453;1331.3025;0.49202811572783645;993.0;0.8299999999999272;1330.5573684210524;0.8342650931293022;4729.0;-0.6600000000000819;1330.4557627118636;1.1955927737547662;21782.0;1.0699999999999363
1673372580000.0;1331.3;0.0;1331.3;0.0;1331.3;200.0;1331.7925;0.3324028680181402;1090.0;0.37000000000011823;1330.651052631579;0.7507691962014118;4698.0;-0.7899999999999636;1330.3167796610167;0.9076142289236783;16696.0;-2.849999999999909
1673372640000.0;1332.14;0.0;1332.14;0.0;1332.14;200.0;1331.8825;0.2312826553520714;1101.0;0.22000000000002728;1330.736315789474;0.7831929698804618;4617.0;-1.150000000000091;1330.3605084745761;0.9150022116589378;16560.0;-3.099999999999909
1673372700000.0;1331.89;0.0;1331.89;0.0;1331.89;200.0;1331.7875;0.1477328670269919;967.0;-0.36000000000012733;1330.7773684210526;0.8169444568720907;4670.0;-1.740000000000009;1330.4086440677963;0.9131500190740314;16376.0;-3.1800000000000637
1673372760000.0;1331.66;0.0;1331.66;0.0;1331.66;200.0;1331.7824999999998;0.13913422775632767;995.0;0.37999999999988177;1330.8478947368421;0.8593445754848326;4674.0;-0.8600000000001273;1330.464406779661;0.9055694934898518;16245.0;-2.540000000000191
1673372820000.0;1331.88;0.0;1331.88;0.0;1331.88;200.0;1331.7250000000001;0.23979157616559804;968.0;-0.18000000000006366;1330.908947368421;0.8541980952711847;4706.0;-1.759999999999991;1330.5084745762713;0.8857274694874121;16054.0;-3.8900000000001
1673372880000.0;1332.04;0.0;1332.04;0.0;1332.04;200.0;1331.7675;0.26638005430834777;843.0;-0.01999999999998181;1330.9842105263156;0.8806141530487218;4681.0;-1.509999999999991;1330.5610169491524;0.8775587118884023;15805.0;-3.009999999999991
1673372940000.0;1331.88;0.0;1331.88;0.0;1331.88;200.0;1331.8200000000002;0.2869378562220641;789.0;-0.6999999999998181;1331.077894736842;0.8872089754290616;4691.0;-2.089999999999918;1330.6274576271185;0.8321587904264011;15519.0;-2.4199999999998454
1673373000000.0;1331.58;0.0;1331.58;0.0;1331.58;200.0;1331.85;0.3116622103067616;778.0;0.37000000000011823;1331.1615789473683;0.9035132856300155;4701.0;-1.7200000000000273;1330.6801694915252;0.8238167931696687;15433.0;-2.2999999999999545
1673373060000.0;1331.85;0.0;1331.85;0.0;1331.85;200.0;1331.9;0.2140093455903519;717.0;0.2699999999999818;1331.244736842105;0.8634579602521513;4562.0;-1.7200000000000273;1330.7127118644066;0.8211426658111414;15183.0;-2.2000000000000455
1673373120000.0;1332.27;0.0;1332.27;0.0;1332.27;200.0;1331.8425;0.22662377045079588;696.0;0.2300000000000182;1331.3421052631581;0.8019391702295874;4559.0;-2.1399999999998727;1330.7540677966103;0.8090972377606747;14923.0;-1.8599999999999
1673373180000.0;1331.88;0.0;1331.88;0.0;1331.88;200.0;1331.81;0.2089657069154207;756.0;-0.2599999999999909;1331.4389473684212;0.740914560502684;4416.0;-1.9700000000000273;1330.7935593220343;0.8046754811977944;14818.0;-1.5799999999999272
1673373240000.0;1331.55;0.0;1331.55;0.0;1331.55;200.0;1331.75;0.12192894105446778;784.0;0.03999999999996362;1331.551052631579;0.6152677351892331;4466.0;-1.4800000000000182;1330.824745762712;0.8090338127118248;14747.0;-1.25
1673373300000.0;1331.78;0.0;1331.78;0.0;1331.78;200.0;1331.775;0.08185352771865005;802.0;-0.03000000000020009;1331.6463157894739;0.46358758643043396;4382.0;-1.0600000000001728;1330.849152542373;0.8131066183972079;14469.0;-0.650000000000091
1673373360000.0;1331.7;0.0;1331.7;0.0;1331.7;200.0;1331.8174999999999;0.08770214744613536;925.0;0.11999999999989086;1331.7352631578947;0.3060204862614643;4401.0;-0.2400000000000091;1330.8737288135592;0.8223869764186694;14486.0;-0.5799999999999272
